id,Name,CPF,Age,Is Admin
f13bde0f-6719-4ed3-b8f0-81069b9ce240,André Melo,85429637029,18,True
04f1376b-60ec-4248-991f-bba10d610f83,Caio Sousa,29348516702,19,True
6f283d64-4a51-43e8-a0ee-0fd6642f47f4,Igor Farias,57012938467,19,False
56a4b60a-edd8-4915-97cd-877361f4509a,Iago Farias,81927356084,23,False
3eb91c25-84c4-4d6f-9b78-91ceaad65201,Vicente Brasil,64731905271,32,False
12c74fae-75d8-473e-8b21-91ceaad6524c,Julian Cardoso,90542731846,22,False
7ac83d18-84c4-4b2e-9b78-02cd39f5a103,Matheus POO,39482761530,20,False
46f02e89-84c4-4e9c-9c8a-4f6a92bd0341,Avelino,67845390215,20,False
3eb91c25-12a8-4d6f-b57a-91ceaad652fe,Milena,52108376498,20,False
4eb90c25-10a8-216f-b57f-12ctaad652hy,Joaquim,08855544377,18,False
